Epoch: 0, Logs: {'loss': 2997.695556640625}
Epoch: 4000, Logs: {'loss': -1.1638933420181274}
Epoch: 8000, Logs: {'loss': -1.9405124187469482}
Epoch: 12000, Logs: {'loss': -2.5860109329223633}
Epoch: 16000, Logs: {'loss': -2.690145492553711}
Epoch: 20000, Logs: {'loss': -2.741222381591797}
Epoch: 24000, Logs: {'loss': -3.14074969291687}
Epoch: 28000, Logs: {'loss': -3.214888334274292}
Epoch: 32000, Logs: {'loss': -3.2287862300872803}
Epoch: 36000, Logs: {'loss': -3.236811876296997}
Epoch: 40000, Logs: {'loss': -3.249228000640869}
Epoch: 44000, Logs: {'loss': -3.267827033996582}
Epoch: 48000, Logs: {'loss': -3.281010389328003}
Epoch: 52000, Logs: {'loss': -3.2874722480773926}
Epoch: 56000, Logs: {'loss': -3.291339635848999}
Epoch: 60000, Logs: {'loss': -3.294264316558838}
Epoch: 64000, Logs: {'loss': -3.2969350814819336}
Epoch: 68000, Logs: {'loss': -3.3001654148101807}
Epoch: 72000, Logs: {'loss': -3.3062496185302734}
Epoch: 76000, Logs: {'loss': -3.3329620361328125}
Epoch: 80000, Logs: {'loss': -3.5106351375579834}
Epoch: 84000, Logs: {'loss': -3.8560874462127686}
Epoch: 88000, Logs: {'loss': -4.174160957336426}
Epoch: 92000, Logs: {'loss': -4.395917892456055}
Epoch: 96000, Logs: {'loss': -4.536172866821289}
Epoch: 100000, Logs: {'loss': -4.631054401397705}
Epoch: 104000, Logs: {'loss': -4.705143928527832}
Epoch: 108000, Logs: {'loss': -4.770201683044434}
Epoch: 112000, Logs: {'loss': -4.831459999084473}
Epoch: 116000, Logs: {'loss': -4.89227294921875}
Epoch: 120000, Logs: {'loss': -4.9527363777160645}
Epoch: 124000, Logs: {'loss': -5.013163089752197}
Epoch: 128000, Logs: {'loss': -5.072719573974609}
Epoch: 132000, Logs: {'loss': -5.131849765777588}
Epoch: 136000, Logs: {'loss': -5.189032077789307}
Epoch: 140000, Logs: {'loss': -5.243592262268066}
Epoch: 144000, Logs: {'loss': -5.295113563537598}
Epoch: 148000, Logs: {'loss': -5.343308448791504}
Epoch: 152000, Logs: {'loss': -5.387944221496582}
Epoch: 156000, Logs: {'loss': -5.429003715515137}
Epoch: 160000, Logs: {'loss': -5.466827869415283}
Epoch: 164000, Logs: {'loss': -5.501364231109619}
Epoch: 168000, Logs: {'loss': -5.533125400543213}
Epoch: 172000, Logs: {'loss': -5.562544345855713}
Epoch: 176000, Logs: {'loss': -5.589806079864502}
Epoch: 180000, Logs: {'loss': -5.615245819091797}
Epoch: 184000, Logs: {'loss': -5.639175891876221}
Epoch: 188000, Logs: {'loss': -5.661829948425293}
Epoch: 192000, Logs: {'loss': -5.6834635734558105}
Epoch: 196000, Logs: {'loss': -5.7042975425720215}
