Epoch: 0, Logs: {'loss': -160.76611328125}
Epoch: 2000, Logs: {'loss': -3836.593505859375}
Epoch: 4000, Logs: {'loss': -4283.3837890625}
Epoch: 6000, Logs: {'loss': -4477.0751953125}
Epoch: 8000, Logs: {'loss': -5300.15576171875}
Epoch: 10000, Logs: {'loss': -5700.61572265625}
Epoch: 12000, Logs: {'loss': -5904.20166015625}
Epoch: 14000, Logs: {'loss': -6021.4755859375}
Epoch: 16000, Logs: {'loss': -6057.39453125}
Epoch: 18000, Logs: {'loss': -6066.15234375}
Epoch: 20000, Logs: {'loss': -6069.9462890625}
Epoch: 22000, Logs: {'loss': -6072.4033203125}
Epoch: 24000, Logs: {'loss': -6074.2529296875}
Epoch: 26000, Logs: {'loss': -6075.7744140625}
Epoch: 28000, Logs: {'loss': -6077.0390625}
Epoch: 30000, Logs: {'loss': -6077.990234375}
Epoch: 32000, Logs: {'loss': -6078.66943359375}
Epoch: 34000, Logs: {'loss': -6079.099609375}
Epoch: 36000, Logs: {'loss': -6079.216796875}
Epoch: 38000, Logs: {'loss': -6079.60888671875}
Epoch: 40000, Logs: {'loss': -6079.79052734375}
Epoch: 42000, Logs: {'loss': -6079.94580078125}
Epoch: 44000, Logs: {'loss': -6080.0947265625}
Epoch: 46000, Logs: {'loss': -6080.23828125}
Epoch: 48000, Logs: {'loss': -6080.359375}
Epoch: 50000, Logs: {'loss': -6080.47314453125}
Epoch: 52000, Logs: {'loss': -6080.46484375}
Epoch: 54000, Logs: {'loss': -6080.73828125}
Epoch: 56000, Logs: {'loss': -6080.85400390625}
Epoch: 58000, Logs: {'loss': -6080.875}
Epoch: 60000, Logs: {'loss': -6081.0791015625}
Epoch: 62000, Logs: {'loss': -6081.20166015625}
Epoch: 64000, Logs: {'loss': -6081.3076171875}
Epoch: 66000, Logs: {'loss': -6081.4072265625}
Epoch: 68000, Logs: {'loss': -6081.5380859375}
Epoch: 70000, Logs: {'loss': -6081.603515625}
Epoch: 72000, Logs: {'loss': -6081.7158203125}
Epoch: 74000, Logs: {'loss': -6081.83984375}
Epoch: 76000, Logs: {'loss': -6081.89599609375}
Epoch: 78000, Logs: {'loss': -6081.9951171875}
Epoch: 80000, Logs: {'loss': -6082.1240234375}
Epoch: 82000, Logs: {'loss': -6082.19091796875}
Epoch: 84000, Logs: {'loss': -6082.2626953125}
Epoch: 86000, Logs: {'loss': -6082.3876953125}
Epoch: 88000, Logs: {'loss': -6082.46044921875}
Epoch: 90000, Logs: {'loss': -6082.44384765625}
Epoch: 92000, Logs: {'loss': -6082.5966796875}
Epoch: 94000, Logs: {'loss': -6082.7314453125}
Epoch: 96000, Logs: {'loss': -6082.80615234375}
Epoch: 98000, Logs: {'loss': -6082.857421875}
