Epoch: 0, Logs: {'loss': -567.4130249023438}
Epoch: 2000, Logs: {'loss': -3851.41650390625}
Epoch: 4000, Logs: {'loss': -4429.81787109375}
Epoch: 6000, Logs: {'loss': -4674.59375}
Epoch: 8000, Logs: {'loss': -5600.4970703125}
Epoch: 10000, Logs: {'loss': -6022.404296875}
Epoch: 12000, Logs: {'loss': -6185.86962890625}
Epoch: 14000, Logs: {'loss': -6239.5791015625}
Epoch: 16000, Logs: {'loss': -6249.4482421875}
Epoch: 18000, Logs: {'loss': -6251.1416015625}
Epoch: 20000, Logs: {'loss': -6251.74267578125}
Epoch: 22000, Logs: {'loss': -6252.0322265625}
Epoch: 24000, Logs: {'loss': -6252.140625}
Epoch: 26000, Logs: {'loss': -6252.4443359375}
Epoch: 28000, Logs: {'loss': -6252.61865234375}
Epoch: 30000, Logs: {'loss': -6252.7470703125}
Epoch: 32000, Logs: {'loss': -6252.9287109375}
Epoch: 34000, Logs: {'loss': -6253.08203125}
Epoch: 36000, Logs: {'loss': -6253.26806640625}
Epoch: 38000, Logs: {'loss': -6253.4111328125}
Epoch: 40000, Logs: {'loss': -6253.60693359375}
Epoch: 42000, Logs: {'loss': -6253.76416015625}
Epoch: 44000, Logs: {'loss': -6253.9609375}
Epoch: 46000, Logs: {'loss': -6254.18505859375}
Epoch: 48000, Logs: {'loss': -6254.39453125}
Epoch: 50000, Logs: {'loss': -6254.5947265625}
Epoch: 52000, Logs: {'loss': -6254.78076171875}
Epoch: 54000, Logs: {'loss': -6255.00927734375}
Epoch: 56000, Logs: {'loss': -6255.30224609375}
Epoch: 58000, Logs: {'loss': -6255.5048828125}
Epoch: 60000, Logs: {'loss': -6255.77734375}
Epoch: 62000, Logs: {'loss': -6256.0498046875}
Epoch: 64000, Logs: {'loss': -6256.3173828125}
Epoch: 66000, Logs: {'loss': -6256.56689453125}
Epoch: 68000, Logs: {'loss': -6256.765625}
Epoch: 70000, Logs: {'loss': -6256.97412109375}
Epoch: 72000, Logs: {'loss': -6257.3056640625}
Epoch: 74000, Logs: {'loss': -6257.5458984375}
Epoch: 76000, Logs: {'loss': -6257.79052734375}
Epoch: 78000, Logs: {'loss': -6258.02685546875}
Epoch: 80000, Logs: {'loss': -6258.2421875}
Epoch: 82000, Logs: {'loss': -6258.53564453125}
Epoch: 84000, Logs: {'loss': -6258.75634765625}
Epoch: 86000, Logs: {'loss': -6259.06201171875}
Epoch: 88000, Logs: {'loss': -6259.35205078125}
Epoch: 90000, Logs: {'loss': -6259.689453125}
Epoch: 92000, Logs: {'loss': -6260.02734375}
Epoch: 94000, Logs: {'loss': -6260.349609375}
Epoch: 96000, Logs: {'loss': -6260.7080078125}
Epoch: 98000, Logs: {'loss': -6261.025390625}
