Epoch: 0, Logs: {'loss': 80.16670227050781}
Epoch: 4000, Logs: {'loss': -3.7000062465667725}
Epoch: 8000, Logs: {'loss': -3.852647304534912}
Epoch: 12000, Logs: {'loss': -4.03948974609375}
Epoch: 16000, Logs: {'loss': -4.04271125793457}
Epoch: 20000, Logs: {'loss': -4.043914794921875}
Epoch: 24000, Logs: {'loss': -4.045892715454102}
Epoch: 28000, Logs: {'loss': -4.049292087554932}
Epoch: 32000, Logs: {'loss': -4.059385776519775}
Epoch: 36000, Logs: {'loss': -4.2817463874816895}
Epoch: 40000, Logs: {'loss': -4.345637321472168}
Epoch: 44000, Logs: {'loss': -4.380980491638184}
Epoch: 48000, Logs: {'loss': -4.428654193878174}
Epoch: 52000, Logs: {'loss': -4.440507888793945}
Epoch: 56000, Logs: {'loss': -4.445006370544434}
Epoch: 60000, Logs: {'loss': -4.447213649749756}
Epoch: 64000, Logs: {'loss': -4.449739456176758}
Epoch: 68000, Logs: {'loss': -4.454281806945801}
Epoch: 72000, Logs: {'loss': -4.4605302810668945}
Epoch: 76000, Logs: {'loss': -4.46796989440918}
Epoch: 80000, Logs: {'loss': -4.476055145263672}
Epoch: 84000, Logs: {'loss': -4.4845499992370605}
Epoch: 88000, Logs: {'loss': -4.49310827255249}
Epoch: 92000, Logs: {'loss': -4.502159118652344}
Epoch: 96000, Logs: {'loss': -4.510765075683594}
Epoch: 100000, Logs: {'loss': -4.519680500030518}
Epoch: 104000, Logs: {'loss': -4.528107643127441}
Epoch: 108000, Logs: {'loss': -4.536330223083496}
Epoch: 112000, Logs: {'loss': -4.544497489929199}
Epoch: 116000, Logs: {'loss': -4.552148818969727}
Epoch: 120000, Logs: {'loss': -4.559514045715332}
Epoch: 124000, Logs: {'loss': -4.5664496421813965}
Epoch: 128000, Logs: {'loss': -4.573128700256348}
Epoch: 132000, Logs: {'loss': -4.579405784606934}
Epoch: 136000, Logs: {'loss': -4.585230350494385}
Epoch: 140000, Logs: {'loss': -4.590954303741455}
Epoch: 144000, Logs: {'loss': -4.596225738525391}
Epoch: 148000, Logs: {'loss': -4.601234436035156}
Epoch: 152000, Logs: {'loss': -4.605563163757324}
Epoch: 156000, Logs: {'loss': -4.610525131225586}
Epoch: 160000, Logs: {'loss': -4.614968299865723}
Epoch: 164000, Logs: {'loss': -4.61946964263916}
Epoch: 168000, Logs: {'loss': -4.624361515045166}
Epoch: 172000, Logs: {'loss': -4.630606174468994}
Epoch: 176000, Logs: {'loss': -4.641757488250732}
Epoch: 180000, Logs: {'loss': -4.680418968200684}
Epoch: 184000, Logs: {'loss': -4.8076887130737305}
Epoch: 188000, Logs: {'loss': -5.007617950439453}
Epoch: 192000, Logs: {'loss': -5.162601947784424}
Epoch: 196000, Logs: {'loss': -5.283714294433594}
