Epoch: 0, Logs: {'loss': 119.07996368408203}
Epoch: 2000, Logs: {'loss': -2.6670877933502197}
Epoch: 4000, Logs: {'loss': -2.8075621128082275}
Epoch: 6000, Logs: {'loss': -3.0963656902313232}
Epoch: 8000, Logs: {'loss': -3.212155818939209}
Epoch: 10000, Logs: {'loss': -3.3489065170288086}
Epoch: 12000, Logs: {'loss': -4.0844831466674805}
Epoch: 14000, Logs: {'loss': -4.240565776824951}
Epoch: 16000, Logs: {'loss': -4.279184818267822}
Epoch: 18000, Logs: {'loss': -4.28930139541626}
Epoch: 20000, Logs: {'loss': -4.291834831237793}
Epoch: 22000, Logs: {'loss': -4.293094635009766}
Epoch: 24000, Logs: {'loss': -4.294684410095215}
Epoch: 26000, Logs: {'loss': -4.299150466918945}
Epoch: 28000, Logs: {'loss': -4.38926887512207}
Epoch: 30000, Logs: {'loss': -4.395353317260742}
Epoch: 32000, Logs: {'loss': -4.399305820465088}
Epoch: 34000, Logs: {'loss': -4.400808811187744}
Epoch: 36000, Logs: {'loss': -4.401422500610352}
Epoch: 38000, Logs: {'loss': -4.401547908782959}
Epoch: 40000, Logs: {'loss': -4.401497840881348}
Epoch: 42000, Logs: {'loss': -4.401580810546875}
Epoch: 44000, Logs: {'loss': -4.401111602783203}
Epoch: 46000, Logs: {'loss': -4.401605606079102}
Epoch: 48000, Logs: {'loss': -4.401607990264893}
Epoch: 50000, Logs: {'loss': -4.401629447937012}
Epoch: 52000, Logs: {'loss': -4.40163516998291}
Epoch: 54000, Logs: {'loss': -4.401644229888916}
Epoch: 56000, Logs: {'loss': -4.401662826538086}
Epoch: 58000, Logs: {'loss': -4.401672840118408}
Epoch: 60000, Logs: {'loss': -4.401645660400391}
Epoch: 62000, Logs: {'loss': -4.401699066162109}
Epoch: 64000, Logs: {'loss': -4.4017181396484375}
Epoch: 66000, Logs: {'loss': -4.401717185974121}
Epoch: 68000, Logs: {'loss': -4.401663780212402}
Epoch: 70000, Logs: {'loss': -4.401769638061523}
Epoch: 72000, Logs: {'loss': -4.401793956756592}
Epoch: 74000, Logs: {'loss': -4.4018049240112305}
Epoch: 76000, Logs: {'loss': -4.401823997497559}
Epoch: 78000, Logs: {'loss': -4.4018402099609375}
Epoch: 80000, Logs: {'loss': -4.401812553405762}
Epoch: 82000, Logs: {'loss': -4.401875972747803}
Epoch: 84000, Logs: {'loss': -4.401888370513916}
Epoch: 86000, Logs: {'loss': -4.401918411254883}
Epoch: 88000, Logs: {'loss': -4.401917934417725}
Epoch: 90000, Logs: {'loss': -4.401944160461426}
Epoch: 92000, Logs: {'loss': -4.401989936828613}
Epoch: 94000, Logs: {'loss': -4.402007102966309}
Epoch: 96000, Logs: {'loss': -4.401510238647461}
Epoch: 98000, Logs: {'loss': -4.402059555053711}
